INVENT_ID,UTM_E,UTM_N,TAMBON,DISTRICT,PROVINCE,YEAR_DATA,REMARK,REMARK_2,LONGITUDE,LATITUDE
26009,710906,2120539,ภูคา,ปัว,น่าน,0, , ,101.00554786121354,19.167189148751714
26010,710916,2120545,ภูคา,ปัว,น่าน,0, , ,101.00564356571746,19.16724230203159
26011,710660,2120547,ภูคา,ปัว,น่าน,0, , ,101.00321053228771,19.167286935032443
26012,710943,2120277,ภูคา,ปัว,น่าน,0, , ,101.00587090733536,19.164818933827128
26013,711194,2137461,ภูคา,ปัว,น่าน,0, , ,101.01014585146426,19.319996371376135
26014,711194,2137461,ภูคา,ปัว,น่าน,0, , ,101.01014585146426,19.319996371376135
26015,709865,2123870,ภูคา,ปัว,น่าน,0, , ,100.99601580810743,19.19738255948749
26016,709820,2123754,ภูคา,ปัว,น่าน,0, , ,100.99557537341332,19.19633950679923
26017,709669,2123885,ภูคา,ปัว,น่าน,0, , ,100.99415413285664,19.197538317063216
26018,709834,2123928,ภูคา,ปัว,น่าน,0, , ,100.9957274194346,19.19790962282898
26019,709677,2123918,ภูคา,ปัว,น่าน,0, , ,100.99423377841514,19.197835545404043
26020,709782,2123936,ภูคา,ปัว,น่าน,0, , ,100.99523394225629,19.197987259708654
26021,709834,2123928,ภูคา,ปัว,น่าน,0, , ,100.9957274194346,19.19790962282898
26022,709880,2124009,ภูคา,ปัว,น่าน,0, , ,100.99617355326436,19.19863645179419
26023,709320,2123783,ภูคา,ปัว,น่าน,0, , ,100.99082521196162,19.196653112441304
26024,709318,2123733,ภูคา,ปัว,น่าน,0, , ,100.99080076586439,19.19620171844609
26025,709381,2123816,ภูคา,ปัว,น่าน,0, , ,100.99140870462288,19.19694487048138
26026,709380,2123910,ภูคา,ปัว,น่าน,0, , ,100.9914094152145,19.19779398221395
26027,709202,2122999,ภูคา,ปัว,น่าน,0, , ,100.98961830478281,19.18958418783229
26028,708422,2123258,ภูคา,ปัว,น่าน,0, , ,100.98223141789754,19.19200378684904
26029,708605,2123129,ภูคา,ปัว,น่าน,0, , ,100.9839571305408,19.190819838143664
26030,707969,2122736,ภูคา,ปัว,น่าน,0, , ,100.97786866579732,19.18733553912679
26031,708449,2125303,ภูคา,ปัว,น่าน,0, , ,100.98270943704563,19.21047155345881
26032,708510,2125208,ภูคา,ปัว,น่าน,0, , ,100.98327910301484,19.209607233110564
26033,708444,2125204,ภูคา,ปัว,น่าน,0, , ,100.98265117846718,19.209577895848227
26034,708502,2125323,ภูคา,ปัว,น่าน,0, , ,100.98321550080887,19.210646740676662
26035,708504,2125294,ภูคา,ปัว,น่าน,0, , ,100.98323137429287,19.21038460578158
26036,708568,2125253,ภูคา,ปัว,น่าน,0, , ,100.98383541067395,19.210007705124433
26037,708761,2125296,ภูคา,ปัว,น่าน,0, , ,100.98567501365955,19.210376205630567
26038,708794,2125287,ภูคา,ปัว,น่าน,0, , ,100.98598778395413,19.210291516944977
26039,708660,2125102,ภูคา,ปัว,น่าน,0, , ,100.98469372842048,19.208634396049018
26040,708719,2124960,ภูคา,ปัว,น่าน,0, , ,100.98523926762509,19.2073457715094
26041,708996,2124969,ภูคา,ปัว,น่าน,0, , ,100.98787376497874,19.207398510095114
26042,708989,2125281,ภูคา,ปัว,น่าน,0, , ,100.98784108736461,19.210217220225587
26043,719957,2121669,ภูคา,ปัว,น่าน,0, , ,101.09170278518059,19.176434693424348
